,y,x0,x1,x2,x3,x4,x5,x6
0,1,33553,9427,199,-1,-1,-1,-1
1,0,12447,39489,42724,10822,49498,4144,-1
2,0,36958,43106,38695,6188,1414,18471,-1
3,1,29282,15177,34304,12609,12144,-1,-1
4,0,6113,15908,821,15118,13466,-1,-1
5,1,26497,42111,30188,37237,33109,36480,24148
6,1,5503,3918,38478,-1,-1,-1,-1
7,0,21123,49717,42294,47609,11076,41514,-1
8,1,22062,9413,38340,30263,-1,-1,-1
9,1,41252,14644,26335,-1,-1,-1,-1
10,1,28102,17523,24712,40485,3850,-1,-1
11,0,40040,15267,49146,30001,45926,43824,17240
12,0,4892,725,22949,34657,37213,20304,-1
13,0,15269,22367,42684,46734,11732,18619,-1
14,0,48492,26803,44305,47522,32207,2530,-1
15,0,17746,8270,15079,13624,30638,30440,-1
16,0,36056,42651,36803,48224,29226,-1,-1
17,1,5633,5987,48063,-1,-1,-1,-1
18,0,1812,27578,16823,3928,37286,25045,15727
19,0,29600,10430,25768,29103,36537,-1,-1
20,0,39328,35539,28075,17840,27802,-1,-1
21,1,7682,24279,33070,35557,-1,-1,-1
22,1,37189,47149,46915,-1,-1,-1,-1
23,1,9801,38800,24669,44233,31919,7134,33704
24,0,29660,17893,22018,13538,43118,36420,-1
25,0,9405,13413,6720,15601,44743,31138,-1
26,0,2729,38242,29625,47894,42090,-1,-1
27,0,36399,6244,5545,4064,12851,21802,41163
28,0,6232,3862,35094,40195,39250,-1,-1
29,0,6217,36775,42976,48467,14831,-1,-1
30,0,30092,8893,6020,46088,15242,-1,-1
31,0,45307,26550,6034,7905,-1,-1,-1
32,1,32225,6017,21879,-1,-1,-1,-1
33,0,2791,42605,5823,15387,29561,-1,-1
34,1,39475,292,16957,30860,14073,21856,22079
35,1,17023,8739,15825,-1,-1,-1,-1
36,0,2741,18048,49936,17372,22021,46364,23537
37,0,45499,40185,9613,43281,37891,26178,45892
38,0,20933,40971,22224,24381,-1,-1,-1
39,1,34855,48577,38536,31755,7753,46638,-1
