,y,x0,x1,x2,x3,x4,x5,x6
0,0,33553,9427,199,-1,-1,-1,-1
1,0,12447,39489,42724,10822,49498,4144,-1
2,1,36958,43106,38695,6188,1414,18471,-1
3,1,29282,15177,34304,12609,12144,-1,-1
4,1,6113,15908,821,15118,13466,-1,-1
5,1,26497,42111,30188,37237,33109,36480,24148
6,1,5503,3918,38478,-1,-1,-1,-1
7,0,21123,49717,42294,47609,11076,41514,-1
8,0,22062,9413,38340,30263,-1,-1,-1
9,1,41252,14644,26335,-1,-1,-1,-1
10,0,28102,17523,24712,40485,3850,-1,-1
11,1,40040,15267,49146,30001,45926,43824,17240
12,1,4892,725,22949,34657,37213,20304,-1
13,1,15269,22367,42684,46734,11732,18619,-1
14,0,48492,26803,44305,47522,32207,2530,-1
15,1,17746,8270,15079,13624,30638,30440,-1
16,1,36056,42651,36803,48224,29226,-1,-1
17,1,5633,5987,48063,-1,-1,-1,-1
18,1,1812,27578,16823,3928,37286,25045,15727
19,1,29600,10430,25768,29103,36537,-1,-1
20,0,39328,35539,28075,17840,27802,-1,-1
21,1,7682,24279,33070,35557,-1,-1,-1
22,1,37189,47149,46915,-1,-1,-1,-1
23,0,9801,38800,24669,44233,31919,7134,33704
24,1,29660,17893,22018,13538,43118,36420,-1
25,1,9405,13413,6720,15601,44743,31138,-1
26,1,2729,38242,29625,47894,42090,-1,-1
27,1,36399,6244,5545,4064,12851,21802,41163
28,1,6232,3862,35094,40195,39250,-1,-1
29,0,6217,36775,42976,48467,14831,-1,-1
30,1,30092,8893,6020,46088,15242,-1,-1
31,0,45307,26550,6034,7905,-1,-1,-1
32,1,32225,6017,21879,-1,-1,-1,-1
33,0,2791,42605,5823,15387,29561,-1,-1
34,1,39475,292,16957,30860,14073,21856,22079
35,0,17023,8739,15825,-1,-1,-1,-1
36,1,2741,18048,49936,17372,22021,46364,23537
37,1,45499,40185,9613,43281,37891,26178,45892
38,1,20933,40971,22224,24381,-1,-1,-1
39,1,34855,48577,38536,31755,7753,46638,-1
40,1,43834,26235,44229,-1,-1,-1,-1
41,1,49596,18552,43136,36672,43649,3940,-1
42,1,31496,26593,23921,26402,45942,48525,-1
43,0,18315,36893,26695,42127,-1,-1,-1
44,1,14170,3732,7881,-1,-1,-1,-1
45,1,6016,23029,35473,49685,4817,41693,12007
46,1,41327,9506,44798,34062,27474,-1,-1
47,1,31143,21235,1390,38249,37624,42028,20834
48,1,14757,26396,6808,9225,48394,5395,-1
49,1,6943,23870,32492,36345,10755,12301,-1
50,1,48386,42745,29089,44712,14343,38172,-1
51,0,5071,24121,48809,-1,-1,-1,-1
52,1,17820,1122,11264,30579,-1,-1,-1
53,1,45464,48216,43044,15656,1900,-1,-1
54,0,147,29642,3211,43850,2354,-1,-1
55,1,31520,42583,43337,-1,-1,-1,-1
56,0,45284,46956,48790,36585,10465,-1,-1
57,0,7821,7205,6413,-1,-1,-1,-1
58,1,34046,12728,6925,27995,37612,39483,-1
59,1,3016,1640,8883,37601,12969,23463,-1
60,1,15757,44076,4086,508,6354,29644,20815
61,1,6234,31989,12995,42501,38920,262,-1
62,1,7891,10527,18600,24114,-1,-1,-1
63,0,33498,13471,31725,23690,10557,6556,45577
64,0,41503,27872,10810,38214,11730,-1,-1
65,1,27438,21779,34079,22915,-1,-1,-1
66,1,8085,43467,14709,15466,37172,28748,3104
67,1,708,38385,23444,26510,-1,-1,-1
68,0,8466,6230,46358,-1,-1,-1,-1
69,0,39357,16386,34165,4168,5803,-1,-1
70,0,12753,2189,12187,31727,19245,37866,-1
71,0,43514,8718,28824,-1,-1,-1,-1
72,0,24468,48252,7201,9282,26820,-1,-1
73,0,27373,22492,45637,-1,-1,-1,-1
74,1,45879,29339,46547,10803,20964,30032,-1
75,1,5222,659,33245,5865,48871,-1,-1
76,1,22985,28880,47087,26527,-1,-1,-1
77,0,9647,49545,32374,26158,-1,-1,-1
78,1,11711,27238,18353,49514,21724,-1,-1
79,0,25924,41389,4772,35204,27878,5874,-1
80,0,17804,34223,7841,15922,28366,12083,20033
81,0,14487,20818,37517,44235,48650,-1,-1
82,1,36235,21069,9523,-1,-1,-1,-1
83,1,32755,12053,23593,8037,46976,16399,45785
84,1,34615,7624,13661,37736,26541,13267,-1
85,1,18082,48085,42767,4070,16286,1118,-1
86,0,10074,11373,32684,-1,-1,-1,-1
87,0,46433,25349,6715,34567,-1,-1,-1
88,1,1030,22753,11761,35896,14492,25085,-1
89,1,20395,4813,8994,49691,21374,30242,47578
90,1,1164,24810,21109,3697,11438,-1,-1
91,1,4469,9807,47767,6748,49184,17378,36884
92,1,13356,32404,42454,46065,11538,2008,3221
93,1,44996,18762,14165,40683,-1,-1,-1
94,0,25080,1822,44661,6848,12635,37668,6095
95,0,39248,10577,31074,29112,-1,-1,-1
96,0,10192,314,11449,30745,-1,-1,-1
97,1,29702,27658,23685,28375,3085,49371,-1
98,1,3751,5048,29186,30708,20146,32249,-1
99,1,4969,30525,18494,-1,-1,-1,-1
100,1,38064,41836,32752,20073,26273,13649,25533
101,1,17521,25480,48234,-1,-1,-1,-1
102,1,48787,32389,5086,17252,4039,18386,4246
103,1,18627,879,23298,-1,-1,-1,-1
104,0,29752,30172,28559,18863,43343,34210,-1
105,1,26083,1941,22225,44691,43239,23859,-1
106,1,14158,33875,48104,23449,6623,38264,-1
107,1,26241,47591,24155,32058,9331,43564,-1
108,1,3493,4878,47062,998,37086,-1,-1
109,1,36437,34749,28616,37095,22810,7142,-1
110,1,21558,9935,4788,30510,-1,-1,-1
111,1,31189,20083,10823,672,15594,43048,-1
112,1,21911,11868,34690,11321,44211,-1,-1
113,1,24614,12005,3939,4613,36759,-1,-1
114,1,31458,44952,4347,39327,49922,-1,-1
115,1,22393,3156,29917,37223,13478,-1,-1
116,1,13871,38555,25329,-1,-1,-1,-1
117,0,44684,985,37139,-1,-1,-1,-1
118,0,35033,23730,7530,44394,-1,-1,-1
119,0,32948,30877,29930,-1,-1,-1,-1
120,0,23415,6059,23679,15940,6948,-1,-1
121,1,30095,41339,49598,33183,16580,1388,-1
122,1,21350,49750,34431,24454,40359,18577,-1
123,1,33451,47852,4,29182,8230,-1,-1
124,1,5946,7822,19486,15384,41099,18183,27161
125,1,11645,24390,4850,47435,42206,-1,-1
126,1,45340,28169,3419,-1,-1,-1,-1
127,1,42590,38734,36719,29497,4362,4028,-1
128,1,3426,20268,20057,11478,47944,-1,-1
129,1,29392,29046,8564,39506,49804,25449,-1
130,1,34921,30477,13519,34007,21315,-1,-1
131,1,42424,48900,47632,49788,44231,-1,-1
132,1,10723,13154,13762,-1,-1,-1,-1
