,y,x0,x1,x2,x3,x4,x5,x6
0,0,12628,37730,39991,-1,-1,-1,-1
1,1,8525,8279,51012,14871,15127,9366,-1
2,0,33322,53390,21819,5026,23428,45297,-1
3,0,26354,30195,47038,20731,34047,-1,-1
4,1,26064,42469,29746,14522,31572,-1,-1
5,0,54949,19368,3803,53325,14300,51301,9008
6,1,47521,25224,48921,-1,-1,-1,-1
7,0,37978,44171,26303,19458,5369,50291,-1
8,0,25951,54908,56362,32218,-1,-1,-1
9,0,2885,36559,8966,-1,-1,-1,-1
10,1,46574,10530,44628,273,19269,-1,-1
11,0,36911,10121,13290,57606,47189,29209,42187
12,0,25386,17005,10981,47313,27070,6685,-1
13,0,54960,58125,40700,13902,31539,49716,-1
14,0,49519,51923,3502,39336,2218,18505,-1
15,1,10689,21377,1866,20192,28870,52203,-1
16,1,3867,3222,21785,20984,48539,-1,-1
17,1,40694,8440,9951,-1,-1,-1,-1
18,1,1334,32572,28344,46503,34482,36271,36874
19,0,11512,23847,9937,52122,9189,-1,-1
20,0,55990,11744,34545,13152,13059,-1,-1
21,0,49858,52310,8914,42178,-1,-1,-1
22,0,9199,37940,54184,-1,-1,-1,-1
23,0,48596,58585,8063,21052,30487,7528,9935
24,0,31354,48001,49675,49979,34356,38895,-1
25,0,46280,9073,24961,476,16358,24839,-1
26,0,24915,15359,16242,33821,31935,-1,-1
27,1,48297,25311,4402,52611,27692,36474,33603
28,0,24219,41145,31168,31382,57527,-1,-1
29,1,48272,23534,45163,5874,30088,-1,-1
30,0,59052,17179,45513,39996,8478,-1,-1
31,0,36198,50196,52352,52625,-1,-1,-1
32,0,37788,212,4248,-1,-1,-1,-1
33,1,26773,47225,38606,47023,50318,-1,-1
34,0,7984,16164,15325,53791,59920,21634,5748
35,0,40744,2095,51747,-1,-1,-1,-1
36,1,38858,30281,9134,6994,43502,9998,22494
37,0,50702,26457,56099,21543,1422,11024,16732
38,0,12678,26242,32673,29542,-1,-1,-1
39,1,54773,49177,28872,39283,23532,4614,-1
40,0,3131,11988,52076,-1,-1,-1,-1
41,0,32090,27585,42027,44318,42226,57247,-1
42,0,31638,35827,1638,20715,28297,57718,-1
43,1,43545,31505,27797,39025,-1,-1,-1
44,1,22799,52766,58622,-1,-1,-1,-1
45,0,54014,21130,27060,27917,16695,56034,23494
46,1,6650,7055,27375,21138,39320,-1,-1
47,1,52445,3882,29068,32248,4503,40877,22561
48,1,6100,34308,24049,53726,25880,19672,-1
49,1,48144,32225,45553,21356,16981,52798,-1
50,1,52039,50746,16187,431,40219,15074,-1
51,1,44762,45788,30235,-1,-1,-1,-1
52,0,18237,14041,22590,49024,-1,-1,-1
53,1,19260,19485,12859,109,8404,-1,-1
54,1,18719,40675,37635,49243,14504,-1,-1
55,0,46108,9634,4948,-1,-1,-1,-1
56,1,20784,59370,1477,47899,8034,-1,-1
57,0,57864,42479,52624,-1,-1,-1,-1
58,1,2980,54612,49686,31067,51402,30360,-1
59,0,39587,27423,40082,12579,21816,15697,-1
60,1,2449,5712,12189,24478,39503,34666,11061
61,1,38989,40573,27951,6481,13802,30378,-1
62,0,59360,57070,39595,58164,-1,-1,-1
63,1,27017,22818,46954,32897,19140,35982,35314
64,0,41927,5567,29120,52973,22033,-1,-1
65,0,57748,27735,37460,28895,-1,-1,-1
66,0,52036,41421,19331,41408,12102,31550,38045
67,1,28331,44001,22718,39788,-1,-1,-1
68,0,51177,33460,32120,-1,-1,-1,-1
69,1,36215,7209,30319,46842,14857,-1,-1
70,0,15118,15712,40208,11832,22956,10947,-1
71,0,48734,16599,11615,-1,-1,-1,-1
72,1,26501,16890,48830,55025,44878,-1,-1
73,1,28889,45754,20066,-1,-1,-1,-1
74,1,4465,41189,47301,8773,13609,26233,-1
75,1,35189,37447,890,49980,6556,-1,-1
76,1,58537,30455,40884,6821,-1,-1,-1
77,0,20987,23272,51232,15538,-1,-1,-1
78,0,3564,6916,20749,13933,9267,-1,-1
79,0,18641,52482,22013,6954,47094,44570,-1
80,1,38389,21993,16228,38048,8935,18063,43766
81,0,37815,42967,34286,45209,54779,-1,-1
82,0,30705,51972,29089,-1,-1,-1,-1
83,1,44988,15145,48565,33019,57071,10115,23635
84,1,44508,22126,35080,59634,9022,38522,-1
85,0,17532,15597,53774,10674,3495,39355,-1
86,0,56019,22691,42935,-1,-1,-1,-1
87,1,37624,53449,58817,56649,-1,-1,-1
88,0,43011,16064,16377,37154,23774,51819,-1
89,1,21666,31418,57726,50892,36223,27635,50528
90,0,21538,7638,58568,11482,24993,-1,-1
91,1,36372,51020,6491,5114,33928,8668,28058
92,1,729,59608,42106,7515,15382,25423,1792
93,0,37184,17161,57115,57034,-1,-1,-1
94,1,22989,50904,17466,21231,32908,9266,24206
95,0,30613,44147,37378,23072,-1,-1,-1
96,1,8331,33832,21757,47674,-1,-1,-1
97,1,17108,54,5785,41793,5012,6357,-1
98,1,39556,44746,971,16813,3077,55502,-1
99,0,34035,50234,37556,-1,-1,-1,-1
100,0,2399,45768,3593,24801,9544,43768,56762
101,0,26912,1566,2101,-1,-1,-1,-1
102,1,15599,35965,20966,44985,48962,20265,47272
103,0,943,25024,31395,-1,-1,-1,-1
104,1,56996,43091,3437,86,23460,13361,-1
105,0,58932,28972,1180,7613,48724,17008,-1
106,0,26575,49902,32841,46150,36334,15179,-1
107,1,37453,20832,16853,28215,43165,54016,-1
108,0,34811,6390,28736,50913,53375,-1,-1
109,1,44824,34793,564,47253,7327,41854,-1
110,0,33347,38874,55396,4884,-1,-1,-1
111,0,36596,26725,41760,36206,40068,31549,-1
112,1,16033,16916,35552,45694,44901,-1,-1
113,0,5090,8703,55232,29196,58976,-1,-1
114,1,12335,44951,38275,27237,24416,-1,-1
115,1,3416,24672,51430,8239,27288,-1,-1
116,1,6366,43654,53841,-1,-1,-1,-1
117,0,11607,39810,25776,-1,-1,-1,-1
118,0,13396,42786,2777,26595,-1,-1,-1
119,0,28719,29560,22934,-1,-1,-1,-1
120,0,11597,38117,39003,49960,9722,-1,-1
121,1,31767,40255,40165,54707,5222,43491,-1
122,0,21761,12797,33838,57659,57544,1175,-1
123,1,47276,38748,58406,38770,33384,-1,-1
124,0,49083,253,21854,50571,58559,4613,42829
125,0,22816,29887,17714,49094,43524,-1,-1
126,0,46033,42066,43610,-1,-1,-1,-1
127,1,22944,4046,44805,2965,43929,35054,-1
128,0,8020,57959,15219,55023,26257,-1,-1
129,1,29827,6936,23281,29205,34458,59704,-1
130,0,24872,40652,23974,39093,22235,-1,-1
131,1,27402,30814,2969,40304,22137,-1,-1
132,0,53076,21122,1219,-1,-1,-1,-1
133,0,13355,44193,26537,13519,52899,-1,-1
134,0,48051,10665,11904,42297,15632,44752,-1
135,0,43274,20913,16050,14896,-1,-1,-1
136,0,44447,54271,57900,52192,51384,18855,-1
137,0,52681,19274,8718,-1,-1,-1,-1
138,1,36567,1736,52074,46543,-1,-1,-1
139,1,27269,3104,28579,35088,42328,-1,-1
140,1,22324,51179,37302,24433,27875,24393,41070
141,1,1608,7416,46744,33735,-1,-1,-1
142,0,17124,708,18848,25326,-1,-1,-1
143,0,44253,45443,5205,7920,51729,-1,-1
144,1,59436,33438,4219,9242,47481,41358,56528
145,1,54765,9149,35812,47442,7475,32122,41699
146,0,2807,53092,45153,-1,-1,-1,-1
147,1,18131,29658,22567,1879,-1,-1,-1
148,0,17779,56804,46989,48475,49331,9632,44640
149,1,30446,52274,6948,-1,-1,-1,-1
150,0,21848,19590,26484,28041,6702,46529,45435
151,0,44192,19246,33601,906,-1,-1,-1
152,0,56333,40016,31375,35998,51810,18486,57515
153,1,13797,37382,7106,39364,-1,-1,-1
154,1,44552,54546,35175,28435,50091,-1,-1
155,0,59177,36229,12892,55603,54227,35496,-1
156,0,22587,56868,40648,-1,-1,-1,-1
157,1,37326,47248,4657,28005,20628,-1,-1
158,1,53429,25652,45190,29042,34253,-1,-1
159,1,5803,3928,31366,14998,40989,13274,-1
160,0,44684,56355,19321,11453,32605,42521,47432
161,1,32064,33950,12681,16871,11634,2549,-1
162,0,6742,16790,54588,12630,54453,-1,-1
163,1,34835,23537,28265,42851,44540,-1,-1
164,0,7298,3461,53678,8913,30997,-1,-1
165,1,22964,56383,48480,22994,40033,46262,59084
166,1,18600,6036,8659,32109,-1,-1,-1
167,0,36204,50171,55367,-1,-1,-1,-1
168,1,43751,36759,48759,32768,-1,-1,-1
169,0,9790,23493,35742,-1,-1,-1,-1
170,0,46507,46871,30213,-1,-1,-1,-1
171,1,26452,34097,19428,-1,-1,-1,-1
172,1,23923,59429,5106,13976,52630,10609,-1
173,0,34408,7679,23048,7173,34086,31868,-1
174,1,55566,12728,34104,19306,46551,20675,-1
175,1,1253,5610,33267,59882,35543,-1,-1
176,0,4615,55112,37969,48704,58272,40678,-1
177,0,17362,588,6006,-1,-1,-1,-1
178,0,25975,59999,23678,9126,25527,42655,39488
179,0,28868,43373,22267,52159,33871,-1,-1
180,0,38844,35460,5981,2826,45474,41064,18487
181,0,12376,22636,16812,-1,-1,-1,-1
182,1,12791,20964,41593,16231,22599,-1,-1
183,0,36633,51171,36411,52494,644,3272,-1
184,0,16694,53787,50219,11670,58576,-1,-1
185,0,38223,37508,27118,45073,29647,-1,-1
186,0,57639,56717,10907,-1,-1,-1,-1
187,0,35039,24695,21211,6527,-1,-1,-1
